,TimeStamp,Trade
295,23-09-2020 05:15:29.146 [DefaultMessageListenerContainer-1],20200923045711
296,23-09-2020 05:15:29.150 [DefaultMessageListenerContainer-1],20200923045712
297,23-09-2020 05:15:29.154 [DefaultMessageListenerContainer-1],20200923045713
298,23-09-2020 05:15:29.158 [DefaultMessageListenerContainer-1],20200923045715
299,23-09-2020 05:15:29.162 [DefaultMessageListenerContainer-1],20200923045716
300,23-09-2020 05:15:29.166 [DefaultMessageListenerContainer-1],20200923045731
301,23-09-2020 05:15:29.170 [DefaultMessageListenerContainer-1],20200923045733
302,23-09-2020 05:15:29.174 [DefaultMessageListenerContainer-1],20200923045734
303,23-09-2020 05:15:29.177 [DefaultMessageListenerContainer-1],20200923045735
304,23-09-2020 05:15:29.184 [DefaultMessageListenerContainer-1],20200923045736
305,23-09-2020 05:15:29.188 [DefaultMessageListenerContainer-1],20200923045737
306,23-09-2020 05:15:29.194 [DefaultMessageListenerContainer-1],20200923045738
307,23-09-2020 05:15:29.204 [DefaultMessageListenerContainer-1],20200923045739
308,23-09-2020 05:15:29.225 [DefaultMessageListenerContainer-1],20200923045740
309,23-09-2020 05:15:29.238 [DefaultMessageListenerContainer-1],20200923045741
310,23-09-2020 05:15:29.250 [DefaultMessageListenerContainer-1],20200923045742
311,23-09-2020 05:15:29.254 [DefaultMessageListenerContainer-1],20200923045743
312,23-09-2020 05:15:29.259 [DefaultMessageListenerContainer-1],20200923045744
313,23-09-2020 05:15:29.263 [DefaultMessageListenerContainer-1],20200923045745
314,23-09-2020 05:15:29.267 [DefaultMessageListenerContainer-1],20200923045746
315,23-09-2020 05:15:29.271 [DefaultMessageListenerContainer-1],20200923045747
316,23-09-2020 05:15:29.276 [DefaultMessageListenerContainer-1],20200923045748
317,23-09-2020 05:15:29.280 [DefaultMessageListenerContainer-1],20200923045749
318,23-09-2020 05:15:29.284 [DefaultMessageListenerContainer-1],20200923045750
319,23-09-2020 05:15:29.288 [DefaultMessageListenerContainer-1],20200923045752
320,23-09-2020 05:15:29.292 [DefaultMessageListenerContainer-1],20200923045753
321,23-09-2020 05:15:29.296 [DefaultMessageListenerContainer-1],20200923045754
322,23-09-2020 05:15:29.300 [DefaultMessageListenerContainer-1],20200923045755
323,23-09-2020 05:15:29.310 [DefaultMessageListenerContainer-1],20200923045756
324,23-09-2020 05:15:29.317 [DefaultMessageListenerContainer-1],20200923045757
325,23-09-2020 05:15:29.323 [DefaultMessageListenerContainer-1],20200923045758
326,23-09-2020 05:15:29.336 [DefaultMessageListenerContainer-1],20200923045759
327,23-09-2020 05:15:29.342 [DefaultMessageListenerContainer-1],20200923045800
328,23-09-2020 05:15:29.347 [DefaultMessageListenerContainer-1],20200923045801
329,23-09-2020 05:15:29.351 [DefaultMessageListenerContainer-1],20200923045802
330,23-09-2020 05:15:29.356 [DefaultMessageListenerContainer-1],20200923045803
331,23-09-2020 05:15:29.360 [DefaultMessageListenerContainer-1],20200923045804
332,23-09-2020 05:15:29.364 [DefaultMessageListenerContainer-1],20200923045805
333,23-09-2020 05:15:29.368 [DefaultMessageListenerContainer-1],20200923045806
334,23-09-2020 05:15:29.371 [DefaultMessageListenerContainer-1],20200923045807
335,23-09-2020 05:15:29.375 [DefaultMessageListenerContainer-1],20200923045808
336,23-09-2020 05:15:29.378 [DefaultMessageListenerContainer-1],20200923045809
337,23-09-2020 05:15:29.382 [DefaultMessageListenerContainer-1],20200923045810
338,23-09-2020 05:15:29.403 [DefaultMessageListenerContainer-1],20200923045812
339,23-09-2020 05:15:29.408 [DefaultMessageListenerContainer-1],20200923045813
340,23-09-2020 05:15:29.413 [DefaultMessageListenerContainer-1],20200923045814
341,23-09-2020 05:15:29.418 [DefaultMessageListenerContainer-1],20200923045815
342,23-09-2020 05:15:29.422 [DefaultMessageListenerContainer-1],20200923045816
343,23-09-2020 05:15:29.426 [DefaultMessageListenerContainer-1],20200923045817
344,23-09-2020 05:15:29.430 [DefaultMessageListenerContainer-1],20200923045818
345,23-09-2020 05:15:29.435 [DefaultMessageListenerContainer-1],20200923045819
346,23-09-2020 05:15:29.439 [DefaultMessageListenerContainer-1],20200923045820
