,Trade,StartTime,EndTime,ElapseTime
574,20200923045810,23-09-2020 05:15:29.382000,23-09-2020 05:18:33.605000,184223.0
575,20200923045810,23-09-2020 05:15:31.275000,23-09-2020 05:20:44.099000,312824.0
576,20200923045812,23-09-2020 05:15:29.403000,23-09-2020 05:20:28.417000,299014.0
577,20200923045812,23-09-2020 05:15:31.284000,23-09-2020 05:17:45.010000,133726.0
578,20200923045813,23-09-2020 05:15:29.408000,23-09-2020 05:19:07.997000,218589.0
579,20200923045813,23-09-2020 05:15:31.297000,23-09-2020 05:17:45.522000,134225.0
580,20200923045814,23-09-2020 05:15:31.304000,23-09-2020 05:18:32.815000,181511.0
581,20200923045814,23-09-2020 05:15:29.413000,23-09-2020 05:20:36.907000,307494.0
582,20200923045815,23-09-2020 05:15:31.350000,23-09-2020 05:17:46.506000,135156.0
583,20200923045815,23-09-2020 05:15:29.418000,23-09-2020 05:20:30.570000,301152.0
584,20200923045816,23-09-2020 05:15:29.422000,23-09-2020 05:17:44.018000,134596.0
585,20200923045816,23-09-2020 05:15:31.355000,23-09-2020 05:19:21.810000,230455.0
586,20200923045817,23-09-2020 05:15:31.360000,23-09-2020 05:17:44.511000,133151.0
587,20200923045817,23-09-2020 05:15:29.426000,23-09-2020 05:20:46.380000,316954.0
588,20200923045818,23-09-2020 05:15:29.430000,23-09-2020 05:17:43.104000,133674.0
589,20200923045818,23-09-2020 05:15:31.364000,23-09-2020 05:20:38.366000,307002.0
